depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
51.637,2.59528639468267e-06,5.81739163557624e-06,5.36133101348412e-07
51.788,2.35284991387396e-06,5.5101432533205e-06,8.8983906046107e-07
51.939,2.93088399183521e-06,6.3165820964587e-06,3.63840800347977e-07
52.09,4.08080765225445e-06,8.17920641444e-06,4.83938668986516e-07
52.42,3.31953521183889e-06,6.99114680564214e-06,5.92888212266203e-07
52.542,1.88904189532745e-06,4.77627762751728e-06,8.9744019138756e-07
52.692,2.47470634042592e-06,5.61127721815173e-06,4.43399304045237e-07
52.842,2.67374855620582e-06,5.94895453192986e-06,5.28531970421923e-07
52.992,2.97130604546122e-06,6.45089245995217e-06,6.44575902566333e-07
53.142,3.12217068196826e-06,6.66531057260123e-06,5.20424097433667e-07
53.291,2.70556220054544e-06,6.14579568543168e-06,1.17209438886472e-06
53.44,2.97835883767356e-06,6.43303064592865e-06,4.99140930839495e-07
53.589,2.81088052878474e-06,6.21811290129905e-06,7.31228795128317e-07
53.737,2.4229941862253e-06,5.52875325694418e-06,4.13501522401044e-07
53.885,2.169180759484e-06,5.17893872933345e-06,6.60123359210617e-07
54.033,2.61329195127937e-06,5.89336008700497e-06,6.77007394519356e-07
54.181,1.59108829396503e-06,4.50017686680635e-06,1.75484775989561e-06
54.329,1.57150666816605e-06,4.49674313922562e-06,1.87646585471944e-06
54.477,2.57807007362057e-06,5.86007848817275e-06,7.67207481513702e-07
54.773,2.69257772568077e-06,5.9499007307419e-06,3.39010439321444e-07
54.921,2.57064103113013e-06,5.73378477661534e-06,2.39688995215311e-07
55.069,2.55111986816756e-06,5.72044524820192e-06,3.15700304480209e-07
55.216,2.87739525476356e-06,6.30074636610591e-06,5.73632013919095e-07
55.363,2.07453437127686e-06,4.94252483389386e-06,2.37662026968247e-07
55.51,2.80073612251561e-06,6.15341622101583e-06,4.53534145280557e-07
55.656,2.97062276220526e-06,6.39548779032543e-06,3.15193562418443e-07
55.802,2.12447286393636e-06,5.07570668747916e-06,4.65189212701174e-07
