depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
887.608,2.32638778764627e-06,5.54081318506225e-05,5.0831296215746e-06
887.806,1.81665739416205e-06,5.19571512548142e-05,4.25207264027838e-06
887.996,1.8896812555616e-06,5.2290286586215e-05,4.11879947803393e-06
888.136,1.70023034249501e-06,5.23403038186326e-05,5.61622227055241e-06
888.436,1.55136729879776e-06,5.15196181106348e-05,5.59341887777294e-06
888.786,2.86102923226753e-06,5.88301660587533e-05,5.46926707264028e-06
890.107,2.58950704053346e-06,5.7213356542004e-05,5.14140495867769e-06
890.277,4.0338966624375e-06,6.50568780449985e-05,4.72131578947368e-06
890.507,1.98594333976586e-06,5.40312420646296e-05,5.37450630709004e-06
890.687,1.72699084652236e-06,5.18919136782163e-05,4.42233797303175e-06
890.867,1.21395818963383e-06,4.94179534242924e-05,4.9615592521949e-06
890.968,1.53438240740501e-06,5.19782583213083e-05,5.9724619399739e-06
891.248,2.7357072795702e-06,5.79115458172873e-05,4.79327316224445e-06
891.458,1.93529769949187e-06,5.42086642403383e-05,5.85945846020009e-06
891.618,1.8012811696311e-06,5.39056692130841e-05,6.44981296215746e-06
891.837,5.8099212133679e-06,7.54407051213005e-05,4.96252501087429e-06
892.037,3.59379542646185e-06,6.30137972293713e-05,5.02586776859504e-06
892.351,1.65312295173937e-06,5.23203183882262e-05,5.32231187472814e-06
892.651,2.18896996256399e-06,5.53461114655862e-05,5.2797455415398e-06
892.961,1.5902103829331e-06,5.19812991342568e-05,5.25339495432797e-06
893.211,1.82273552318331e-06,5.35355158969845e-05,5.54325141365811e-06
893.376,1.76054963520896e-06,5.30736545685071e-05,5.36842540234885e-06
894.599,2.50491710189441e-06,5.70381675126659e-05,4.85002827316224e-06
895.961,3.84337915687628e-06,6.52308802205654e-05,5.45963897346672e-06
896.111,3.56117658409622e-06,6.40191315735266e-05,5.95624619399739e-06
896.556,1.95409969995584e-06,5.42297642318637e-05,4.95593736407134e-06
896.756,2.07238299772573e-06,5.50082044126029e-05,5.07046107003045e-06
896.946,1.93851114756421e-06,5.46224534190744e-05,5.54426489778164e-06
897.166,1.94325060544093e-06,5.49722521006354e-05,5.9456046107003e-06
897.431,1.15306529808511e-06,5.04742799746269e-05,5.88074162679426e-06
897.831,2.12872583375178e-06,5.5083522604432e-05,4.56979991300565e-06
897.941,3.64127567449084e-06,6.45608329285717e-05,5.76064375815572e-06
898.131,2.59520949159984e-06,5.80384241978015e-05,4.93718790778599e-06
898.318,3.5696216238427e-06,6.36504359192935e-05,5.01623208142019e-06
898.488,3.09467616987548e-06,6.09136986481182e-05,4.9326272292301e-06
898.698,2.82544028985456e-06,5.93338978057193e-05,4.82874510656807e-06
898.878,3.46562646992267e-06,6.27425571940075e-05,4.49277511961722e-06
899.028,2.92204584107289e-06,6.08701088543748e-05,6.10573510221836e-06
899.226,2.04274445360009e-06,5.53100150064378e-05,5.31167029143106e-06
899.486,2.10717484531792e-06,5.58821268025642e-05,5.54781209221401e-06
899.756,1.84540061293508e-06,5.52724457946832e-05,6.68798173118747e-06
899.996,2.34362748366768e-06,5.78100746848679e-05,6.25218355806873e-06
900.184,2.98684981177231e-06,6.04777791703091e-05,4.88803392779469e-06
900.354,4.07968178992315e-06,6.65550172217794e-05,4.67317529360592e-06
900.584,2.43590467911854e-06,5.74655086286798e-05,4.98583514571553e-06
900.784,1.96188685378132e-06,5.4965534721271e-05,5.21893649412788e-06
