depth [m],temp [K]
154.48,-30.069
154.61,-30.069
154.73,-30.069
154.85,-30.069
154.97,-30.069
155.09,-30.069
155.21,-30.069
155.33,-30.069
155.45,-30.07
155.57,-30.07
155.69,-30.07
155.84,-30.07
155.96,-30.07
156.08,-30.07
156.2,-30.07
156.32,-30.07
156.44,-30.07
156.56,-30.07
156.68,-30.07
156.8,-30.07
156.92,-30.07
157.04,-30.07
157.16,-30.07
157.29,-30.07
157.41,-30.07
157.52,-30.07
157.65,-30.07
157.77,-30.07
157.89,-30.071
158.01,-30.071
158.13,-30.071
158.25,-30.071
158.37,-30.071
158.49,-30.071
158.61,-30.071
158.73,-30.071
158.86,-30.071
158.98,-30.071
159.1,-30.071
159.22,-30.071
159.34,-30.071
159.48,-30.071
159.6,-30.071
159.73,-30.071
159.85,-30.071
159.97,-30.071
160.09,-30.071
160.21,-30.071
160.33,-30.071
160.45,-30.071
160.57,-30.072
160.69,-30.072
160.81,-30.072
160.93,-30.072
161.05,-30.072
161.17,-30.072
161.3,-30.072
161.42,-30.072
161.54,-30.072
161.66,-30.072
161.78,-30.072
161.9,-30.072
162.02,-30.072
162.14,-30.072
162.26,-30.072
162.38,-30.072
162.5,-30.072
162.62,-30.072
162.74,-30.072
162.87,-30.072
162.99,-30.072
163.13,-30.072
163.25,-30.072
163.37,-30.072
163.49,-30.072
163.61,-30.073
163.73,-30.073
163.85,-30.073
163.98,-30.073
164.1,-30.073
164.21,-30.073
164.34,-30.073
164.46,-30.073
164.58,-30.073
164.7,-30.073
164.82,-30.073
164.94,-30.073
165.06,-30.073
165.19,-30.073
165.3,-30.073
165.42,-30.073
165.54,-30.073
165.67,-30.073
165.79,-30.073
165.91,-30.073
166.03,-30.073
166.15,-30.073
166.27,-30.073
166.39,-30.073
166.51,-30.073
166.65,-30.073
166.78,-30.073
166.89,-30.073
167.02,-30.073
167.14,-30.073
167.26,-30.073
167.38,-30.074
167.5,-30.074
167.62,-30.074
167.74,-30.074
167.86,-30.074
167.98,-30.074
168.11,-30.074
168.23,-30.074
168.35,-30.074
168.48,-30.074
168.6,-30.074
168.72,-30.074
168.84,-30.074
168.96,-30.074
169.08,-30.074
169.2,-30.074
169.32,-30.074
169.44,-30.074
169.56,-30.074
169.68,-30.074
169.8,-30.074
169.92,-30.074
170.04,-30.074
170.19,-30.074
170.31,-30.074
170.43,-30.074
170.55,-30.074
170.67,-30.074
170.79,-30.074
170.91,-30.074
171.03,-30.074
171.16,-30.074
171.28,-30.074
171.4,-30.074
171.52,-30.074
171.64,-30.074
171.76,-30.074
171.88,-30.075
172,-30.075
172.12,-30.075
172.24,-30.075
172.36,-30.075
172.48,-30.075
172.6,-30.075
172.72,-30.075
172.84,-30.075
172.96,-30.075
173.08,-30.075
173.2,-30.075
173.32,-30.075
173.44,-30.075
173.56,-30.075
173.71,-30.075
173.83,-30.075
173.95,-30.075
174.07,-30.075
174.2,-30.075
174.32,-30.075
174.44,-30.075
174.56,-30.075
174.68,-30.075
174.8,-30.075
174.92,-30.075
175.04,-30.075
175.16,-30.075
175.28,-30.075
175.4,-30.075
175.52,-30.075
175.64,-30.075
175.76,-30.075
175.89,-30.075
176,-30.075
