depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
2207.3,1.31476374566286e-06,6.83746787917733e-06,2.55521394522325e-06
2225,9.89545894252385e-07,6.0985853445349e-06,1.94623868219897e-06
2235.1,1.21816960580674e-06,6.36579134067814e-06,9.12193608439342e-07
2244,1.11101981102478e-06,6.42913868401436e-06,1.66981637661129e-06
2255,3.74136976649266e-06,1.27269338350752e-05,3.01808027529405e-06
2267,1.82190335976021e-06,8.0405612446434e-06,1.15335796688574e-06
2279,4.73905302162887e-07,5.40337957147405e-06,2.03931966265196e-06
2289,7.87944669976056e-07,6.05079942517654e-06,1.58914619355203e-06
2302,6.31985594390658e-07,6.23027968818848e-06,2.96166755986799e-06
2316,2.97354598885403e-06,1.14802060497278e-05,2.15158096634982e-06
2324,5.94329642511734e-07,5.90082293858671e-06,1.60212111810002e-06
2333,1.14538081801439e-06,7.52499200506804e-06,2.44126026006262e-06
2343,1.94519448942628e-06,9.67287057981343e-06,2.99974614278058e-06
2354,2.49381981158538e-06,1.08689564131286e-05,2.31292133246834e-06
2364,3.62834823520541e-07,5.98035143541833e-06,2.4858263052492e-06
2373,1.17935959744286e-06,8.49979569997966e-06,3.97709643753702e-06
2380,7.61275757482212e-07,7.02866468202559e-06,2.32702451132485e-06
2392,1.66767503561523e-06,9.22525796770699e-06,1.97162440414069e-06
2392,1.47799168143335e-06,8.36616035246514e-06,7.62699912560291e-07
2400,1.12284599633039e-06,7.6515886609911e-06,9.5901616224297e-07
2416,7.04471510059933e-06,2.24904798228573e-05,1.18918004118128e-06
2430,1.01451660342288e-06,7.66180766501833e-06,8.58601528784588e-07
2449,2.33059151137459e-06,1.17047788284681e-05,2.38061659097961e-06
2464,3.13968410421937e-06,1.32504685221454e-05,2.94474428373845e-07
2485,2.40086715581339e-06,1.19122197620457e-05,1.02109310769209e-06
2502,2.65369824156918e-06,1.28032996867855e-05,9.83079599826011e-07
2512,1.48747787177127e-06,9.52822884571029e-06,0
2525,3.77208030309245e-06,1.59374840748245e-05,4.62584266493668e-07
2530.285,2.48280263769869e-06,1.25947510649336e-05,4.81818181818182e-07
2536.075,3.64923702851237e-06,1.57417711051866e-05,2.99266634699461e-07
2542.145,2.36341743724229e-06,1.24369758176247e-05,4.36190073118886e-07
2548.615,2.92415999789407e-06,1.38920280246067e-05,0
2554.605,1.56869230637277e-06,1.05373043838666e-05,6.17496742165684e-07
2561.075,1.80124260722361e-06,1.11735003472129e-05,3.75095816997151e-07
2567.605,2.27236331269508e-06,1.25698129326576e-05,4.01128254308521e-07
2572.625,2.50887520634025e-06,1.32720229937479e-05,3.28762474261699e-07
2578.575,2.71502391403368e-06,1.39436208999549e-05,3.43884606565363e-07
2584.184,2.97163922258992e-06,1.46201271914491e-05,0
2590.315,2.47658663550844e-06,1.34734388136068e-05,3.33174217237396e-07
2597.45,2.22722674148596e-06,1.30381722650088e-05,7.14168053479254e-07
2603.465,3.11569517073162e-06,1.58144692699294e-05,1.19114282296651e-06
2609.685,2.35046841976302e-06,1.35315928067515e-05,5.69889713141342e-07
2616.6,3.18260666246516e-06,1.59748329500879e-05,4.83386084285872e-07
2629.075,1.2640719051743e-06,1.07013454630174e-05,4.37793698699687e-07
2633.565,1.64934157139377e-06,1.19459660664919e-05,6.21137844470144e-07
2640.475,7.19240794633212e-07,9.46287997732563e-06,8.46760274165797e-07
2646.565,3.28049162792192e-07,8.39043034489494e-06,7.76114856288607e-07
