depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
703.337,6.39548961007008e-08,5.53813591403809e-06,3.08610433487423e-06
703.361,3.00088588622865e-07,5.9045303545254e-06,2.4778367832285e-06
703.385,1.80446705982897e-07,5.0020215697904e-06,5.87716054862652e-07
703.409,1.00467252691338e-06,6.84387233312605e-06,1.90762499423425e-07
703.433,1.46694977895465e-06,7.93868423982683e-06,1.57601038580385e-07
703.457,1.59094057348707e-06,8.31642139931512e-06,4.06573603808105e-07
703.481,1.44807854339609e-06,7.9861952046867e-06,4.41704512121888e-07
703.505,1.22302903278707e-06,7.5568370846737e-06,7.75628390321978e-07
703.529,6.03958383586373e-07,6.33825613650739e-06,1.57921421460577e-06
703.553,3.67479870765992e-07,5.60552593364098e-06,1.06664850159418e-06
703.577,2.18505310857034e-07,5.38231647575839e-06,1.47478552277574e-06
703.601,0,4.97504812640658e-06,1.82845215959952e-06
703.625,0,4.47497050545833e-06,2.9492630004612e-07
703.649,5.97240193474054e-07,5.84650063228668e-06,1.20482049375946e-07
703.673,9.2126108065911e-07,6.66658111915582e-06,2.58851042496771e-07
703.697,1.11239313516271e-06,7.11453169518825e-06,2.30703499175088e-07
703.721,1.40737714529584e-06,7.95258036730869e-06,6.37138770372891e-07
703.745,1.17040038693886e-06,7.41735893265092e-06,7.33902925787479e-07
703.769,9.31799552814062e-07,7.00221208912829e-06,1.2107963758417e-06
703.793,9.85313384098271e-08,4.96126333578346e-06,1.06352060491158e-06
703.817,2.36208463879879e-07,5.04286535562016e-06,3.03992555700413e-07
703.841,4.44888756276367e-07,5.56100503616991e-06,3.62380982502883e-07
703.865,7.8355128591827e-07,6.53259038021755e-06,8.57964727535628e-07
703.889,1.81708058244612e-07,5.04488671733181e-06,7.09914123481731e-07
703.913,7.23944572031327e-07,6.16563998652854e-06,1.69857743021341e-07
703.938,1.2368070842406e-06,7.50087315370559e-06,5.02958251442151e-07
703.9634,1.21753222548206e-06,7.66324797592773e-06,1.14226073192613e-06
703.9867,8.7429135407011e-07,7.19837053060759e-06,2.2341140760035e-06
704.01,2.82317919928482e-07,5.71891185269843e-06,2.03895920969833e-06
704.0333,4.58775620648762e-07,5.66658392923345e-06,5.84296067779903e-07
704.0566,5.6152906859321e-07,5.94111184697369e-06,6.72530983265512e-07
704.0799,8.98498218879667e-07,6.64592930745308e-06,3.62470600544281e-07
704.1032,1.44292365308487e-06,7.8755036795922e-06,1.40068142967941e-07
704.1265,1.57858011034471e-06,8.18627583232875e-06,9.81278533784948e-08
704.1498,1.19007309705633e-06,7.29709335990692e-06,2.20813679247658e-07
704.1731,6.94245417367586e-07,6.57185110755859e-06,1.63335770716755e-06
704.1964,5.27252720681844e-07,6.68062233262669e-06,3.1916892233122e-06
704.2197,0,4.77105742442114e-06,1.20289923841513e-06
704.243,3.66926331606415e-07,5.65010450761278e-06,1.20741189959896e-06
704.2663,3.22643436320404e-07,5.30018748577754e-06,4.59149391588331e-07
704.2896,6.26830076145989e-07,6.04234719518916e-06,5.04038958281395e-07
704.3129,1.09622224026713e-06,7.11559172962861e-06,3.5255654273118e-07
704.3362,8.05701968706646e-07,6.48762059020486e-06,5.57601473958212e-07
704.3595,5.61677064867009e-07,5.89742908527229e-06,5.37489038896976e-07
704.3828,1.32437538766623e-06,8.41926645659121e-06,2.67702765229017e-06
704.4061,2.45977244705124e-07,6.16669992506847e-06,3.67866901618224e-06
704.4294,3.88681976976344e-07,5.46153792620677e-06,4.69595548127489e-07
704.4527,1.46514272842389e-07,4.83136141717814e-06,3.13244793110814e-07
704.476,9.17307884595213e-08,4.63387504266687e-06,1.09436980883572e-07
704.4993,5.13851158146303e-07,5.64889592924297e-06,1.26113372627217e-07
704.5226,7.5923432458351e-07,6.29941660831302e-06,3.21267864644318e-07
704.5459,1.00897195963454e-06,7.0663873366226e-06,8.41588217218777e-07
704.5692,7.07867452477089e-07,6.37961671779455e-06,9.43948168772048e-07
704.5925,6.91902376517069e-07,6.16117239529055e-06,3.911649544539e-07
704.6158,7.14710623468582e-07,6.26896580133927e-06,5.54438819480626e-07
704.6391,1.18553198761067e-07,4.96753325667683e-06,9.35901246742417e-07
704.6624,0,4.68792760795412e-06,9.47975366776219e-07
704.6857,2.86116152566651e-07,5.28175359592558e-06,6.70522922401684e-07
704.709,6.05750113829705e-07,5.94487777127037e-06,3.59748589025733e-07
704.7323,9.45636064495801e-07,6.72326316519295e-06,2.53897119931811e-07
704.7556,1.02968538254391e-06,7.07520923522655e-06,7.16722557094927e-07
704.7789,7.33158670966394e-07,6.73355837812063e-06,1.84384339388511e-06
704.8022,3.21618381728492e-07,5.67901064886634e-06,1.62835735111504e-06
704.8255,1.50465398580515e-07,4.99779406687363e-06,7.94644321530308e-07
704.8488,9.5874648202682e-07,7.1196721152521e-06,1.37335928102159e-06
704.8721,1.89892487832318e-07,5.37907454691844e-06,1.6746992372787e-06
704.8954,5.90127778376955e-07,5.84934700115377e-06,1.81375317131855e-07
